2026-04-02 03:38:57 | UI | IDS_STARTED | IDS thread started
2026-04-02 03:56:26 | UI | IDS_STARTED | IDS thread started
2026-04-02 08:58:33 | AGENT | MODEL_LOADED | ML model loaded
2026-04-02 08:58:33 | AGENT | IDS_STARTED | IDS running
2026-04-02 08:58:34 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 08:58:40 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 08:58:46 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 08:58:52 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 08:58:58 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 08:59:04 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 08:59:10 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 08:59:16 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 08:59:22 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 08:59:28 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 08:59:34 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 08:59:40 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 08:59:46 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 08:59:52 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 08:59:58 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:00:04 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:00:10 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:00:16 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:00:22 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:00:28 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:00:34 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:00:40 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:00:46 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:00:52 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:00:58 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:01:04 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:01:10 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:01:16 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:01:22 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:01:28 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:01:34 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:01:40 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:01:46 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:01:52 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:01:58 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:02:04 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:02:10 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:02:16 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:02:22 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:02:28 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:02:34 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:02:40 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
2026-04-02 09:02:46 | AGENT | AGENT_ERROR | name 'log_system_data' is not defined
