timestamp,cpu_usage,ram_usage,disk_usage,disk_read,disk_write,battery_percent,process_count,heavy_process_count
2026-01-17 19:47:06,8.5,62.5,9.8,28672,471040,78,236,1
2026-01-17 19:47:37,7.0,62.3,9.8,32768,5337088,78,238,6
2026-01-17 19:48:08,17.1,62.8,9.8,380928,3977216,78,236,1
2026-01-17 19:48:39,5.4,61.8,9.8,102400,14954496,78,236,3
2026-01-17 19:49:11,16.6,61.8,9.8,81920,6004736,78,238,2
2026-01-17 19:49:42,4.9,61.2,9.8,0,23228416,77,238,8
2026-01-17 19:50:13,6.3,61.8,9.8,4411392,4280320,77,239,3
2026-01-17 19:50:45,4.7,61.9,9.8,32768,3133440,77,238,2
2026-01-17 19:51:16,6.5,61.8,9.8,8192,3977216,77,236,4
2026-01-17 19:51:47,3.0,61.6,9.8,65536,3137536,77,235,5
2026-01-17 19:52:18,10.5,61.7,9.8,69632,3788800,76,235,3
2026-01-17 19:52:50,6.3,61.1,9.8,159744,3203072,76,235,3
2026-01-17 19:53:21,1.5,61.4,9.8,12288,3588096,76,235,5
2026-01-17 19:53:52,9.1,66.9,9.8,69947392,164646912,76,245,7
2026-01-17 19:54:24,10.1,67.7,9.8,4315648,16162816,75,245,4
2026-01-17 19:54:57,9.1,66.2,9.8,3621888,12095488,75,246,6
2026-01-17 19:55:29,12.5,67.3,9.8,40960,3207168,75,244,7
2026-01-17 19:56:01,2.3,64.9,9.8,0,4210688,75,240,6
2026-01-17 19:56:33,13.8,65.5,9.8,180224,4382720,75,239,2
2026-01-17 19:57:04,6.2,64.6,9.8,0,5578752,74,238,4
2026-01-17 19:57:35,3.9,65.0,9.8,569344,4714496,74,239,3
2026-01-17 19:58:07,5.8,64.5,9.8,61440,3563520,74,238,5
2026-01-17 19:58:38,16.4,65.2,9.8,278528,4734976,74,241,1
2026-01-17 19:59:10,6.2,65.1,9.8,18365952,3940352,74,242,3
2026-01-17 19:59:42,6.2,66.4,9.8,20480,5410816,73,243,4
