cpu,ram,disk,battery,disk_read,disk_write,process_count
12.4,75.8,24.9,56,23294713344,18250542592,250
9.2,74.7,24.9,56,23303938048,18268229120,250
26.5,74.9,24.9,56,23304155136,18268876288,250
2.8,74.9,24.9,56,23304155136,18269576704,252
4.3,74.6,24.9,56,23304181248,18271268352,250
15.9,75.1,24.9,56,23304181760,18273472000,252
6.6,75.8,24.9,56,23304263680,18274766336,253
14.6,75.8,24.9,56,23304497152,18275859968,253
14.4,75.5,24.9,56,23304632320,18276527616,253
22.5,75.5,24.9,56,23304680960,18276965888,253
17.7,75.5,24.9,55,23304865280,18278632960,253
18.2,75.7,24.9,55,23304877056,18279357952,253
9.7,75.7,24.9,55,23305331712,18280111616,253
10.5,75.5,24.9,55,23305601024,18280480256,253
17.6,75.8,24.9,55,23305601024,18280947200,252
3.5,75.9,24.9,55,23305611264,18282208768,251
4.1,75.1,24.9,55,23305623552,18284006912,252
4.7,73.4,24.9,55,23305676288,18284510720,252
1.2,73.0,24.9,55,23305676288,18285514240,252
5.8,72.1,24.9,55,23305897472,18286112256,251
10.2,72.1,24.9,55,23305926144,18287156736,251
5.8,72.1,24.9,55,23306063360,18287861248,251
3.0,72.5,24.9,55,23306227200,18288119296,252
17.8,71.9,24.9,55,23306227200,18292706816,251
18.8,72.0,24.9,55,23306292736,18293521920,251
14.3,71.9,24.9,55,23306323968,18294558208,251
8.8,72.0,24.9,55,23306340352,18295160320,253
4.0,71.6,24.9,55,23306405888,18295930368,251
39.3,76.7,24.9,55,23327574016,18297126400,251
33.5,78.7,24.9,55,23327797248,18302942720,251
13.3,81.6,24.9,55,23329180672,18309914112,251
17.5,82.9,24.9,55,23329346048,18311929344,251
24.0,84.7,24.9,55,23329808896,18312924672,251
21.2,83.2,24.9,55,23329882624,18314460672,253
28.2,83.9,24.9,54,23330077696,18315935232,251
18.2,84.1,24.9,54,23330434048,18317069824,251
8.6,84.1,24.9,54,23330565120,18317708800,251
28.2,84.3,24.9,54,23331688960,18317860352,253
9.4,84.2,24.9,54,23332569600,18319334912,253
14.8,84.2,24.9,54,23332745728,18321870336,253
8.1,84.2,24.9,54,23332803072,18322497024,253
4.3,84.3,24.9,54,23332819456,18323140096,253
8.8,84.1,24.9,54,23332848128,18323435008,252
8.0,84.1,24.9,54,23332909568,18323791360,252
19.8,82.5,24.9,54,23332909568,18324999680,252
4.4,82.4,24.9,54,23332913664,18326707712,252
15.9,82.5,24.9,54,23333646336,18326973952,252
5.6,82.5,24.9,54,23333662720,18327907840,252
13.0,82.6,24.9,54,23333675008,18328321536,252
6.6,82.5,24.9,54,23333888000,18329931264,252
9.3,82.4,24.9,54,23333904384,18330791424,252
11.2,83.0,24.9,54,23333969920,18331184640,255
26.3,83.1,24.9,54,23334055936,18331672064,253
24.6,83.2,24.9,54,23334242304,18332544512,254
13.7,83.3,24.9,54,23334438912,18335464960,255
4.8,83.4,24.9,54,23334438912,18336562688,255
9.9,83.3,24.9,53,23334438912,18336947712,254
9.1,83.3,24.9,53,23334483968,18337447424,254
16.6,83.3,24.9,53,23334488064,18338663936,253
2.9,83.4,24.9,53,23334590464,18339565056,254
